"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual","sum","year"
"Nepal",0.965,0.99,0.443,0.653,0.209,0.115,1.783,5.158,2024
"Netherlands",1.901,1.462,0.706,0.725,0.247,0.372,1.906,7.319,2024
"New Zealand",1.81,1.527,0.673,0.746,0.226,0.48,1.567,7.029,2024
"Nicaragua",1.097,1.263,0.542,0.793,0.133,0.251,2.203,6.282,2024
"Niger",0.573,0.677,0.293,0.615,0.145,0.147,2.107,4.557,2024
"Nigeria",1.042,1.075,0.256,0.566,0.201,0.019,1.722,4.881,2024
"North Macedonia",1.475,1.277,0.569,0.58,0.194,0.015,1.26,5.37,2024
"Norway",1.952,1.517,0.704,0.835,0.224,0.484,1.586,7.302,2024
"Pakistan",1.069,0.6,0.321,0.542,0.144,0.074,1.907,4.657,2024
"Panama",1.702,1.392,0.633,0.72,0.063,0.043,1.806,6.359,2024
"Paraguay",1.398,1.408,0.549,0.788,0.131,0.065,1.637,5.976,2024
"Peru",1.371,1.18,0.662,0.615,0.078,0.029,1.907,5.842,2024
"Philippines",1.232,1.146,0.441,0.826,0.099,0.136,2.167,6.047,2024
"Poland",1.738,1.417,0.639,0.6,0.081,0.175,1.791,6.441,2024
"Portugal",1.728,1.368,0.699,0.757,0.047,0.035,1.397,6.031,2024
"Romania",1.699,1.236,0.583,0.717,0.041,0.006,2.21,6.492,2024
"Russia",1.642,1.351,0.531,0.551,0.138,0.121,1.451,5.785,2024
"Saudi Arabia",1.842,1.361,0.511,0.787,0.114,0.188,1.79,6.593,2024
"Senegal",0.927,0.751,0.392,0.607,0.152,0.069,2.071,4.969,2024
"Serbia",1.538,1.391,0.585,0.663,0.2,0.101,1.932,6.41,2024
"Sierra Leone",0.654,0.566,0.253,0.469,0.181,0.053,1.068,3.244,2024
"Singapore",2.118,1.361,0.769,0.743,0.168,0.575,0.788,6.522,2024
"Slovakia",1.706,1.54,0.638,0.566,0.096,0.058,1.653,6.257,2024
"Slovenia",1.786,1.502,0.695,0.789,0.157,0.131,1.683,6.743,2024
"South Africa",1.389,1.369,0.322,0.537,0.078,0.034,1.693,5.422,2024
"South Korea",1.815,1.178,0.77,0.555,0.126,0.158,1.456,6.058,2024
"Spain",1.766,1.471,0.729,0.619,0.119,0.177,1.54,6.421,2024
"Sri Lanka",1.361,1.179,0.586,0.583,0.144,0.031,0.014,3.898,2024
"State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,2024
"Sweden",1.878,1.501,0.724,0.838,0.221,0.524,1.658,7.344,2024
"Switzerland",1.97,1.425,0.747,0.759,0.173,0.498,1.488,7.06,2024
"Taiwan Province of China",1.842,1.346,0.65,0.649,0.068,0.202,1.747,6.504,2024
"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,2024
"Tanzania",0.82,0.706,0.38,0.709,0.191,0.257,0.717,3.78,2024
"Thailand",1.484,1.347,0.62,0.756,0.283,0.024,1.463,5.977,2024
"Togo",0.758,0.586,0.32,0.453,0.127,0.156,1.814,4.214,2024
