"year","month","day","mode","route","peak","numerator","denominator","mean"
2023,1,27,"Rail","Red","OFF_PEAK",110434.097944565,125977.237612011,0.876619459498578
2023,1,27,"Rail","Red","PEAK",102974.676958005,113843.143910505,0.904531212164661
2023,1,28,"Rail","Blue","OFF_PEAK",42615.279268555,43754.71131347,0.973958643293249
2023,1,28,"Rail","Green-B","OFF_PEAK",7101.184271246,10021.787873382,0.70857459377152
2023,1,28,"Rail","Green-C","OFF_PEAK",6397.752774194,8515.388928943,0.75131656669828
2023,1,28,"Rail","Green-D","OFF_PEAK",10254.408650024,16405.91352219,0.625043441570888
2023,1,28,"Rail","Green-E","OFF_PEAK",8724.776901349,16977.501962489,0.513902276119655
2023,1,28,"Rail","Orange","OFF_PEAK",5201.469108829,5266.482001707,0.98765534699313
2023,1,28,"Rail","Red","OFF_PEAK",82727.316066718,91947.158368368,0.899726729294749
2023,1,29,"Rail","Blue","OFF_PEAK",33579.385418307,33741.873020311,0.995184392937932
2023,1,29,"Rail","Green-B","OFF_PEAK",7176.092808506,8559.790783735,0.838349089342434
2023,1,29,"Rail","Green-C","OFF_PEAK",7595.816222027,9406.735862635,0.807486925640035
2023,1,29,"Rail","Green-D","OFF_PEAK",8266.825000716,13533.533861564,0.610840086948336
2023,1,29,"Rail","Green-E","OFF_PEAK",7556.231374295,12719.428277425,0.594070048549755
2023,1,29,"Rail","Orange","OFF_PEAK",3541.427094967,3632.17551441,0.975015409061877
2023,1,29,"Rail","Red","OFF_PEAK",60433.593174401,66263.841396978,0.912014635740045
2023,1,30,"Rail","Blue","OFF_PEAK",40025.726142502,43081.705785257,0.929065491092955
2023,1,30,"Rail","Blue","PEAK",24892.292360589,28553.28757718,0.871783758465806
2023,1,30,"Rail","Green-B","OFF_PEAK",10170.883820884,11984.14453844,0.848695022682692
2023,1,30,"Rail","Green-B","PEAK",6545.2310601,7610.154692523,0.860065442103392
2023,1,30,"Rail","Green-C","OFF_PEAK",10353.630699778,12913.528485192,0.801766202912748
2023,1,30,"Rail","Green-C","PEAK",7513.550869882,9344.783273235,0.804036931643139
2023,1,30,"Rail","Green-D","OFF_PEAK",19329.284679927,23964.916192509,0.806565920141585
2023,1,30,"Rail","Green-D","PEAK",14821.9160446,18664.012337395,0.794144140962819
2023,1,30,"Rail","Green-E","OFF_PEAK",18149.586983009,22412.005306347,0.809815397369601
2023,1,30,"Rail","Green-E","PEAK",12690.007922788,15360.022206573,0.82617119637741
2023,1,30,"Rail","Orange","OFF_PEAK",79115.346707118,89449.318566889,0.884471206429109
2023,1,30,"Rail","Orange","PEAK",66492.99372869,72384.054265409,0.91861383565062
2023,1,30,"Rail","Red","OFF_PEAK",113958.977435113,127068.721868584,0.896829493201094
2023,1,30,"Rail","Red","PEAK",101474.781880771,112239.737664286,0.904089620953022
2023,1,31,"Rail","Blue","OFF_PEAK",39750.862894364,43085.731041433,0.922599244193813
2023,1,31,"Rail","Blue","PEAK",26618.117644003,28650.638349727,0.929058449556557
2023,1,31,"Rail","Green-B","OFF_PEAK",9465.828591075,11467.910701503,0.825418756516337
2023,1,31,"Rail","Green-B","PEAK",6131.144446822,7501.655196853,0.817305552699098
2023,1,31,"Rail","Green-C","OFF_PEAK",9853.902725147,12532.736727933,0.786253069785196
2023,1,31,"Rail","Green-C","PEAK",7912.824457697,9684.994548394,0.817018989340488
2023,1,31,"Rail","Green-D","OFF_PEAK",18985.745067393,24146.823118524,0.786262647231149
2023,1,31,"Rail","Green-D","PEAK",14245.89241626,18318.721057322,0.777668504896302
2023,1,31,"Rail","Green-E","OFF_PEAK",16742.176168428,21306.571031354,0.78577524951297
2023,1,31,"Rail","Green-E","PEAK",10524.148872093,13354.980349398,0.788031775169732
2023,1,31,"Rail","Orange","OFF_PEAK",79400.570459111,91192.162747755,0.870695113117774
2023,1,31,"Rail","Orange","PEAK",65378.659546359,73059.865549293,0.89486421929217
2023,1,31,"Rail","Red","OFF_PEAK",100736.062044161,117934.711659323,0.854168044563134
2023,1,31,"Rail","Red","PEAK",97675.149669677,116074.003826955,0.841490311778102
2023,2,1,"Rail","Blue","OFF_PEAK",40381.448182155,43447.280907967,0.929435567387836
2023,2,1,"Rail","Blue","PEAK",26553.277549154,28328.82892446,0.937323516618333
2023,2,1,"Rail","Green-B","OFF_PEAK",9727.921855378,11995.506932729,0.810963797522885
2023,2,1,"Rail","Green-B","PEAK",6427.263034476,7847.804452941,0.818988683142755
2023,2,1,"Rail","Green-C","OFF_PEAK",10597.163961161,13041.813581046,0.812552939459442
2023,2,1,"Rail","Green-C","PEAK",6861.278051607,9068.607074846,0.756596685133534
2023,2,1,"Rail","Green-D","OFF_PEAK",18930.865541614,23931.260268938,0.791051759450615
2023,2,1,"Rail","Green-D","PEAK",12881.833883541,17082.683667768,0.754087246130228
2023,2,1,"Rail","Green-E","OFF_PEAK",17829.913826008,21232.48666545,0.839746851461409
2023,2,1,"Rail","Green-E","PEAK",12242.707949532,14732.354293895,0.831008249279296
2023,2,1,"Rail","Orange","OFF_PEAK",82985.788040855,89003.568816976,0.932387196871894
2023,2,1,"Rail","Orange","PEAK",66823.460713803,72614.824305113,0.920245436841163
2023,2,1,"Rail","Red","OFF_PEAK",109699.527378709,125840.562374177,0.871734242990158
2023,2,1,"Rail","Red","PEAK",97520.61149366,111656.542830981,0.873398092230752
2023,2,2,"Rail","Blue","OFF_PEAK",40911.770317663,43332.675681932,0.944132105249194
2023,2,2,"Rail","Blue","PEAK",26896.168059187,28384.084103519,0.947579212388695
2023,2,2,"Rail","Green-B","OFF_PEAK",9217.588602894,11399.125131671,0.808622459743346
2023,2,2,"Rail","Green-B","PEAK",6062.153173339,7718.726590042,0.785382550168293
2023,2,2,"Rail","Green-C","OFF_PEAK",10312.026509024,13276.429996745,0.776716821581721
2023,2,2,"Rail","Green-C","PEAK",6683.06364691,9393.890894046,0.711426577366981
2023,2,2,"Rail","Green-D","OFF_PEAK",18165.417486816,22956.717192482,0.791289857975204
2023,2,2,"Rail","Green-D","PEAK",13058.302526082,17504.590221754,0.745993043005009
2023,2,2,"Rail","Green-E","OFF_PEAK",17317.000183843,21498.444736334,0.805500137159967
2023,2,2,"Rail","Green-E","PEAK",12098.23104842,14817.382259302,0.816489096164406
2023,2,2,"Rail","Orange","OFF_PEAK",78065.466604608,86576.630723438,0.901692130454716
2023,2,2,"Rail","Orange","PEAK",63613.850631698,75633.347692401,0.841082043471274
